X1	StringTie	transcript	X4776377	X4785730	X1000	X.	.	gene_id.STRG.1..transcript_id.STRG.1.1..cov.17.940662..FPKM.67.242661..TPM.124.083046.
1	StringTie	exon	4776377	4776801	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 1; cov 18.367060;
1	StringTie	exon	4777525	4777648	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 2; cov 19.766129;
1	StringTie	exon	4782568	4782733	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 3; cov 19.433735;
1	StringTie	exon	4783951	4784105	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 4; cov 18.309677;
1	StringTie	exon	4785573	4785730	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 5; cov 13.430380;
1	StringTie	transcript	4807831	4846739	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; cov 8.310524; FPKM 31.148333; TPM 57.478100;
1	StringTie	exon	4807831	4807982	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 1; cov 3.861842;
1	StringTie	exon	4808455	4808486	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 2; cov 6.000000;
1	StringTie	exon	4828584	4828649	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 3; cov 6.000000;
1	StringTie	exon	4830268	4830315	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 4; cov 6.000000;
1	StringTie	exon	4832311	4832381	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 5; cov 6.000000;
1	StringTie	exon	4837001	4837074	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 6; cov 6.554054;
1	StringTie	exon	4839387	4839488	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 7; cov 7.000000;
1	StringTie	exon	4840956	4841132	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 8; cov 7.000000;
1	StringTie	exon	4844963	4846739	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 9; cov 9.252110;
1	StringTie	transcript	4857818	4897907	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; cov 10.789810; FPKM 40.440845; TPM 74.625595;
1	StringTie	exon	4857818	4857976	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 1; cov 3.076935;
1	StringTie	exon	4867470	4867532	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 2; cov 4.038556;
1	StringTie	exon	4878027	4878132	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 3; cov 4.271562;
1	StringTie	exon	4886744	4886831	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 4; cov 4.906345;
1	StringTie	exon	4889457	4889602	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 5; cov 5.424824;
1	StringTie	exon	4890740	4890796	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 6; cov 6.308158;
1	StringTie	exon	4891915	4892069	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 7; cov 7.497438;
1	StringTie	exon	4893417	4893563	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 8; cov 7.709972;
1	StringTie	exon	4894934	4895005	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 9; cov 7.768380;
1	StringTie	exon	4896356	4897907	1000	+	.	gene_id STRG.3; transcript_id STRG.3.1; exon_number 10; cov 14.062810;
1	StringTie	transcript	4857818	4897907	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; cov 2.307907; FPKM 8.650171; TPM 15.962183;
1	StringTie	exon	4857818	4857976	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 1; cov 0.659442;
1	StringTie	exon	4867470	4867532	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 2; cov 0.865535;
1	StringTie	exon	4878027	4878132	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 3; cov 0.915472;
1	StringTie	exon	4886744	4886831	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 4; cov 1.051517;
1	StringTie	exon	4889457	4889602	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 5; cov 1.162637;
1	StringTie	exon	4890740	4890796	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 6; cov 1.351951;
1	StringTie	exon	4891915	4892069	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 7; cov 1.606835;
1	StringTie	exon	4893417	4893563	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 8; cov 1.652385;
1	StringTie	exon	4894934	4895005	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 9; cov 1.664903;
1	StringTie	exon	4896356	4897737	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 10; cov 2.971727;
1	StringTie	exon	4897750	4897907	1000	+	.	gene_id STRG.3; transcript_id STRG.3.2; exon_number 11; cov 3.363348;
1	StringTie	transcript	4857818	4897907	1000	+	.	gene_id STRG.3; transcript_id STRG.3.3; cov 2.286168; FPKM 8.568692; TPM 15.811830;
1	StringTie	exon	4857818	4857976	1000	+	.	gene_id STRG.3; transcript_id STRG.3.3; exon_number 1; cov 0.653560;
