X1	StringTie	transcript	X4774302	X4785720	X1000	X.	.	gene_id.STRG.1..transcript_id.STRG.1.1..cov.2.782873..FPKM.11.951677..TPM.17.279774.
1	StringTie	exon	4774302	4774516	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 1; cov 2.344186;
1	StringTie	exon	4777525	4777648	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 2; cov 3.456289;
1	StringTie	exon	4782568	4782733	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 3; cov 3.372261;
1	StringTie	exon	4783951	4784105	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 4; cov 2.960144;
1	StringTie	exon	4785573	4785720	1000	-	.	gene_id STRG.1; transcript_id STRG.1.1; exon_number 5; cov 2.009218;
1	StringTie	transcript	4776377	4785720	1000	-	.	gene_id STRG.1; transcript_id STRG.1.2; cov 22.030882; FPKM 94.616615; TPM 136.796997;
1	StringTie	exon	4776377	4776801	1000	-	.	gene_id STRG.1; transcript_id STRG.1.2; exon_number 1; cov 23.621176;
1	StringTie	exon	4777525	4777648	1000	-	.	gene_id STRG.1; transcript_id STRG.1.2; exon_number 2; cov 24.543713;
1	StringTie	exon	4782568	4782733	1000	-	.	gene_id STRG.1; transcript_id STRG.1.2; exon_number 3; cov 23.947018;
1	StringTie	exon	4783951	4784105	1000	-	.	gene_id STRG.1; transcript_id STRG.1.2; exon_number 4; cov 21.020504;
1	StringTie	exon	4785573	4785720	1000	-	.	gene_id STRG.1; transcript_id STRG.1.2; exon_number 5; cov 14.267809;
1	StringTie	transcript	4807839	4846739	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; cov 18.152950; FPKM 77.961952; TPM 112.717636;
1	StringTie	exon	4807839	4807982	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 1; cov 4.923611;
1	StringTie	exon	4808455	4808486	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 2; cov 10.000000;
1	StringTie	exon	4828584	4828649	1000	+	.	gene_id STRG.2; transcript_id STRG.2.1; exon_number 3; cov 10.166667;
